Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,25.175,-42.705,0.0,top
C10,0.1uF,C_0402_1005Metric,16.927314,-52.199999,90.0,top
C11,2.2uF,C_0402_1005Metric,15.19,-52.7,180.0,top
C12,2.2uF,C_0402_1005Metric,15.19,-53.7,180.0,top
C13,0.1uF,C_0402_1005Metric,27.44,-55.125,0.0,top
C14,0.1uF,C_0402_1005Metric,14.59,-58.76,180.0,top
C15,15pF,C_0402_1005Metric,28.960274,-56.905395,90.0,top
C16,15pF,C_0402_1005Metric,27.526309,-62.651682,0.0,top
C17,6.8pF,C_0402_1005Metric,29.975876,-77.559747,180.0,top
C19,22uF,C_1206_3216Metric,12.965,-93.45,180.0,top
C2,0.1uF,C_0402_1005Metric,27.439999,-53.267266,0.0,top
C20,22uF,C_1206_3216Metric,21.44,-90.620474,180.0,top
C21,100uF/10V,CP_Elec_6.3x5.4,12.64,-86.25,-90.0,top
C22,22uF,C_1206_3216Metric,2.468699,-73.008552,90.0,top
C23,22uF,C_1206_3216Metric,23.33038,-85.834233,90.0,top
C24,22uF,C_1206_3216Metric,3.683657,-76.449999,180.0,top
C25,100nF,C_0402_1005Metric,24.42,-88.45,0.0,top
C26,22uF,C_1206_3216Metric,8.78,-29.87,0.0,top
C27,100nF,C_0603_1608Metric,4.69,-29.95,180.0,top
C28,100nF,C_0402_1005Metric,25.547843,-78.345623,180.0,top
C29,22uF,C_1206_3216Metric,28.715374,-75.949999,0.0,top
C3,0.1uF,C_0402_1005Metric,19.133657,-62.249999,180.0,bottom
C30,100nF,C_0402_1005Metric,16.770439,-82.221286,90.0,top
C31,100pF,C_0402_1005Metric,17.327542,-86.620624,-90.0,top
C32,22uF,C_1206_3216Metric,25.280137,-81.231662,90.0,top
C33,100uF/10V,CP_Elec_6.3x5.4,21.99,-16.65,180.0,top
C34,100nF,C_0603_1608Metric,15.447765,-77.217234,-90.0,top
C35,100nF,C_0402_1005Metric,11.353657,-43.449999,180.0,bottom
C36,0.1uF,C_0402_1005Metric,14.433657,-84.949999,270.0,bottom
C37,100nF,C_0402_1005Metric,14.173657,-47.989999,-90.0,top
C38,22uF,C_1206_3216Metric,22.960694,-80.007234,-90.0,top
C39,10n,C_0402_1005Metric,14.69,-8.68,-90.0,top
C4,0.1uF,C_0402_1005Metric,22.29094,-62.949999,-90.0,top
C40,10n,C_0402_1005Metric,12.71,-11.7,0.0,top
C41,10n,C_0402_1005Metric,14.69,-3.95,-90.0,top
C42,22uF,C_1206_3216Metric,28.34,-7.225,-90.0,top
C43,100nF,C_0603_1608Metric,30.24,-6.425,-90.0,top
C44,4.7uF,C_0805_2012Metric,10.633657,-41.249999,90.0,bottom
C45,4.7uF,C_0805_2012Metric,16.433657,-47.849999,180.0,top
C46,100nF,C_0201_0603Metric,15.808657,-45.249999,135.0,top
C47,100nF,C_0201_0603Metric,16.308657,-44.749999,135.0,top
C48,100nF,C_0201_0603Metric,16.812677,-44.257807,135.0,top
C49,100nF,C_0201_0603Metric,17.308657,-43.774999,135.0,top
C5,0.1uF,C_0402_1005Metric,27.423353,-56.4,0.0,top
C50,100nF,C_0201_0603Metric,17.308657,-42.373725,-135.0,top
C51,100nF,C_0201_0603Metric,16.781109,-41.876273,-135.0,top
C52,100nF,C_0201_0603Metric,16.258657,-41.373725,-135.0,top
C53,100nF,C_0201_0603Metric,15.757383,-40.874999,-135.0,top
C6,0.1uF,C_0402_1005Metric,21.62387,-52.204428,180.0,top
C7,0.1uF,C_0402_1005Metric,17.933657,-52.199999,90.0,top
C8,0.1uF,C_0402_1005Metric,15.19,-57.3,180.0,top
C9,0.1uF,C_0402_1005Metric,15.19,-56.3,180.0,top
D1,1N4007FL,D_SOD-123F,4.99,-97.825,180.0,top
D10,LED 0402 RED,LED_0402_1005Metric,1.9725,-3.6,180.0,bottom
D11,LED 0402 RED,LED_0402_1005Metric,1.985,-108.09,0.0,top
D12,LED 0402 RED,LED_0402_1005Metric,1.985,-7.39,180.0,bottom
D13,LED 0402 GREEN,LED_0402_1005Metric,1.99,-12.435,0.0,top
D14,LED 0402 GREEN,LED_0402_1005Metric,1.965,-4.55,180.0,bottom
D16,LED 0402 GREEN,LED_0402_1005Metric,1.985,-8.34,180.0,bottom
D17,LED 0402 RED,LED_0402_1005Metric,1.98,-11.485,0.0,top
D18,LED 0402 RED,LED_0402_1005Metric,1.9725,-5.5,180.0,bottom
D2,1N4007FL,D_SOD-123F,17.54,-92.95,0.0,top
D20,LED 0402 RED,LED_0402_1005Metric,1.985,-9.29,180.0,bottom
D3,1N4007FL,D_SOD-123F,15.6625,-100.2,90.0,top
D4,B0520LW,D_SOD-123,12.823657,-32.369999,0.0,top
D5,LED 0402 GREEN,LED_0402_1005Metric,1.985,-14.325,0.0,top
D6,LED 0402 GREEN,LED_0402_1005Metric,1.965,-2.65,180.0,bottom
D7,LED 0402 GREEN,LED_0402_1005Metric,1.985,-109.08,0.0,top
D8,LED 0402 GREEN,LED_0402_1005Metric,1.98,-6.44,180.0,bottom
D9,LED 0402 RED,LED_0402_1005Metric,1.98,-13.385,0.0,top
F1,16V 500mA,Fuse_0805_2012Metric,21.44,-92.95,180.0,top
F2,15V 200mA,Fuse_0805_2012Metric,15.6625,-105.0625,90.0,top
F3,15V 50mA,Fuse_0805_2012Metric,9.443657,-34.499999,90.0,top
H3,MountingHole,mounting_hole,23.615,-47.2,0.0,top
J1,Conn_01x15,FFC_0.5-14P_CTXJ-H2.0_1,10.1,-53.35,270.0,bottom
J10,DVI_GPDI,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,5.04,-41.45,-90.0,top
J2,Conn_02x06_Top_Bottom,PinSocket_2x06_P2.54mm_Horizontal,5.17,-85.46,0.0,top
J3,Conn_02x06_Top_Bottom,PinSocket_2x06_P2.54mm_Horizontal,5.17,-62.6,0.0,top
J4,~,AUDIO-TH_PJ-325M,6.99,-102.507736,0.0,top
J5,USB_C_Receptacle_USB2.0_14P,USB-C-TH_U264-141N-4BAC10,8.59,-17.52,90.0,top
J6,CONN 2x5 P=2.54mm,PinHeader_2x05_P2.54mm_Horizontal,18.96,-100.9,180.0,top
J7,USB_C_Receptacle_USB2.0_14P,USB-C-TH_U264-141N-4BAC10,8.52375,-26.38,90.0,top
J8,MICROMOD-2222,TE_21992304,19.64,-68.9344,180.0,top
L1,FERRITE,L_0603_1608Metric,21.404249,-87.953467,-90.0,top
L2,FERRITE,L_0603_1608Metric,15.0025,-96.95,0.0,top
L3,10uH 2A,L_Vishay_IHLP-2020,19.005905,-78.397382,90.0,top
L4,FERRITE,L_0603_1608Metric,24.875406,-77.089751,180.0,top
L5,FERRITE,L_0603_1608Metric,24.875406,-75.579751,180.0,top
L6,FERRITE,L_0603_1608Metric,19.926156,-87.966155,90.0,top
L7,FERRITE,L_0603_1608Metric,15.0025,-95.45,180.0,top
L8,2.2uH,L_0805_2012Metric,27.408855,-82.237416,-90.0,top
R1,4K7,R_0402_1005Metric,15.165,-74.725,-90.0,top
R10,220R,R_0402_1005Metric,8.505,-97.9,180.0,top
R11,5.1K,R_0402_1005Metric,8.44,-14.308293,90.0,top
R12,5.1K,R_0402_1005Metric,9.43,-14.308293,90.0,top
R13,10K,R_0402_1005Metric,14.69,-10.95,90.0,top
R14,10K,R_0402_1005Metric,5.89,-11.7,180.0,top
R15,1K,R_0402_1005Metric,30.515,-62.8,-90.0,top
R16,220R,R_0402_1005Metric,29.54,-62.79,90.0,top
R17,157K (158K),R_0402_1005Metric,18.281236,-86.611412,-90.0,top
R18,30K,R_0402_1005Metric,18.280038,-84.715632,-90.0,top
R2,4K7,R_0402_1005Metric,16.215,-74.725,-90.0,top
R20,900K (910K),R_0402_1005Metric,11.23,-23.5,180.0,top
R21,10K,R_0402_1005Metric,7.93,-11.7,0.0,top
R22,10K,R_0402_1005Metric,14.69,-6.21,-90.0,top
R23,10K,R_0402_1005Metric,7.43,-14.288293,-90.0,top
R24,18K,R_0402_1005Metric,5.93,-13.798293,0.0,top
R25,4K7,R_0402_1005Metric,12.798673,-37.424318,-90.0,top
R27,10K,R_0402_1005Metric,14.93,-28.833593,180.0,top
R28,2K2,R_0402_1005Metric,10.883657,-37.423587,90.0,top
R29,10K,R_0402_1005Metric,14.69,-1.71,-90.0,top
R3,10K,R_0402_1005Metric,27.625,-42.675,180.0,top
R30,10K,R_0402_1005Metric,10.45,-11.7,0.0,top
R31,2K2,R_0402_1005Metric,9.923657,-37.419999,90.0,top
R32,4K7,R_0402_1005Metric,23.459677,-12.012793,180.0,top
R33,10K,R_0402_1005Metric,18.19,-26.333593,-90.0,top
R34,33R,R_0402_1005Metric,8.872338,-72.443827,90.0,bottom
R35,33R,R_0402_1005Metric,7.933657,-72.439999,90.0,bottom
R36,47K,R_0402_1005Metric,15.195734,-38.056789,-90.0,top
R37,47K,R_0402_1005Metric,17.939649,-37.640004,-90.0,top
R38,200K,R_0402_1005Metric,14.443657,-34.699999,180.0,top
R39,210K,R_0402_1005Metric,30.460273,-78.981108,-90.0,top
R4,10K,R_0402_1005Metric,27.435642,-54.2,180.0,top
R40,33R,R_0402_1005Metric,12.733657,-49.879999,180.0,top
R41,33R,R_0402_1005Metric,12.723657,-48.939999,180.0,top
R42,47K,R_0402_1005Metric,29.501599,-78.972149,90.0,top
R43,93R1,R_0201_0603Metric,13.827274,-63.429898,90.0,top
R44,4K7,R_0402_1005Metric,16.133657,-38.069999,-90.0,top
R45,10K,R_0402_1005Metric,12.183657,-70.199999,90.0,bottom
R47,33R,R_0402_1005Metric,15.574616,-78.1179,135.0,bottom
R48,33R,R_0402_1005Metric,14.871348,-77.434167,135.0,bottom
R49,33R,R_0402_1005Metric,12.219584,-73.512919,135.0,bottom
R5,1K,R_0402_1005Metric,27.43,-57.35,180.0,top
R51,93R1,R_0201_0603Metric,14.530583,-63.425271,90.0,top
R52,93R1,R_0201_0603Metric,15.938872,-63.435495,90.0,top
R53,93R1,R_0201_0603Metric,15.244817,-63.429942,90.0,top
R54,93R1,R_0201_0603Metric,11.640459,-63.437311,90.0,top
R55,93R1,R_0201_0603Metric,10.942549,-63.425743,90.0,top
R56,93R1,R_0201_0603Metric,13.098648,-63.435565,90.0,top
R57,93R1,R_0201_0603Metric,12.405614,-63.435046,90.0,top
R58,196R,R_0201_0603Metric,14.157471,-62.384173,180.0,top
R59,196R,R_0201_0603Metric,15.582406,-62.384173,0.0,top
R6,27R,R_0402_1005Metric,13.34,-54.475,0.0,top
R60,196R,R_0201_0603Metric,11.316567,-62.376949,0.0,top
R61,196R,R_0201_0603Metric,12.755313,-62.390841,0.0,top
R7,27R,R_0402_1005Metric,13.34,-55.475,0.0,top
R8,100R,R_0402_1005Metric,19.825,-37.275,180.0,top
R9,4K7,R_0402_1005Metric,13.733657,-37.424318,-90.0,top
RN1,220R,R_Array_Convex_4x0402,3.93,-12.82,180.0,top
RN10,33R,R_Array_Convex_4x0402,8.683657,-62.599424,0.0,top
RN2,220R,R_Array_Convex_4x0402,8.54,-3.44,0.0,bottom
RN3,220R,R_Array_Convex_4x0402,4.5,-108.63,90.0,top
RN4,220R,R_Array_Convex_4x0402,8.61,-8.44,0.0,bottom
RN5,33R,R_Array_Convex_4x0402,17.533993,-63.116796,-90.0,top
RN6,33R,R_Array_Convex_4x0402,10.049774,-77.523222,-135.0,top
RN7,33R,R_Array_Convex_4x0402,9.275472,-79.509311,135.0,bottom
RN8,33R,R_Array_Convex_4x0402,20.033657,-62.402219,90.0,top
RN9,33R,R_Array_Convex_4x0402,5.688177,-71.944062,180.0,top
SW2,SW_Tactile_SPST,SW_SPST_SKQG_WithStem,21.94,-27.75,-90.0,top
SW3,RotaryEncoder_Switch,RotaryEncoder_Bourns_Horizontal_PEC09-2xxxF-Sxxxx,8.465,-5.95,180.0,top
U1,USBLC6-2P6,SOT-666,8.433657,-14.949999,0.0,bottom
U10,TLV62569ADRLR,SOT-563,27.933657,-79.199999,-90.0,top
U11,Si5351A-B-GT,MSOP-10_3x3mm_P0.5mm,12.204508,-83.326356,90.0,bottom
U12,W25Q128JVP,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,24.083657,-39.199999,0.0,top
U13,PI3HDX511E,Diodes_ZL32_TQFN-32-1EP_3x6mm_P0.4mm_EP1.25x3.5mm,12.933657,-43.449999,180.0,top
U14,PCA9306,SSOP-8_2.95x2.8mm_P0.65mm,17.183657,-33.949999,-90.0,top
U2,RP2040(QFN-56_7x7mm_P0.4mm),QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,21.09,-57.25,90.0,top
U3,USBLC6-4SC6,SOT-23-6,8.433657,-29.949999,0.0,bottom
U4,H11L1SR2M,DIP-6_W8.89mm_SMDSocket_LongPads,19.655,-85.845,90.0,bottom
U5,AP63200WU,TSOT-23-6,20.455,-84.4125,90.0,top
U6,74AUC1G79,SOT-23-5,13.183657,-66.699999,90.0,bottom
U7,PCA9635 LED DRIVER,TSSOP-28_4.4x9.7mm_P0.65mm,21.965,-7.3125,-90.0,top
U8,TUSB322I,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,8.46922,-22.931686,90.0,top
U9,AP2161W,SOT-23-5,15.5525,-26.383593,0.0,top
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,28.556811,-59.6608,0.0,top
Y2,25MHz AMB8G,Crystal_SMD_3225-4Pin_3.2x2.5mm,12.400798,-88.412359,180.0,bottom
